Reporting-starts,Reporting-ends,Ad-name,Age,Gender,Impressions,Clicks,CPC,CTR,Leads,CPL,Spent
2025-01-01,2026-01-01,INST — 1 ,18-24,female,58,1,0.42,1.72%,,,0.42
2025-01-01,2026-01-01,INST — 1 ,18-24,male,318,16,0.06,5.03%,3,,0.97
2025-01-01,2026-01-01,INST — 1 ,18-24,unknown,9,0,0.00,0.00%,,,0
2025-01-01,2026-01-01,INST — 1 ,25-34,female,49,4,0.08,8.16%,,,0.32
2025-01-01,2026-01-01,INST — 1 ,25-34,male,341,20,0.05,5.87%,2,,1.01
2025-01-01,2026-01-01,INST — 1 ,25-34,unknown,2,0,0.00,0.00%,,,0
2025-01-01,2026-01-01,INST — 1 ,35-44,female,55,3,0.09,5.45%,,,0.27
2025-01-01,2026-01-01,INST — 1 ,35-44,male,624,24,0.05,3.85%,,,1.31
2025-01-01,2026-01-01,INST — 1 ,35-44,unknown,3,0,0.00,0.00%,,,0
2025-01-01,2026-01-01,INST — 1 ,45-54,female,69,4,0.04,5.80%,,,0.17
2025-01-01,2026-01-01,INST — 1 ,45-54,male,1722,112,0.03,6.50%,14,,3.15
2025-01-01,2026-01-01,INST — 1 ,45-54,unknown,9,0,0.00,0.00%,,,0.05
2025-01-01,2026-01-01,INST — 1 ,55-64,female,58,7,0.02,12.07%,,,0.16
2025-01-01,2026-01-01,INST — 1 ,55-64,male,2223,204,0.02,9.18%,21,,4.11
2025-01-01,2026-01-01,INST — 1 ,55-64,unknown,8,1,0.02,12.50%,,,0.02
2025-01-01,2026-01-01,INST — 1 ,65+,female,39,3,0.05,7.69%,,,0.14
2025-01-01,2026-01-01,INST — 1 ,65+,male,1465,155,0.02,10.58%,17,,2.73
2025-01-01,2026-01-01,INST — 1 ,65+,unknown,3,0,0.00,0.00%,,,0.01
2025-01-01,2026-01-01,FB — 1,18-24,female,106913,597,0.03,0.56%,23,,20.79
2025-01-01,2026-01-01,FB — 1,18-24,male,66067,471,0.03,0.71%,17,,13.22
2025-01-01,2026-01-01,FB — 1,18-24,unknown,1217,11,0.04,0.90%,,,0.48
2025-01-01,2026-01-01,FB — 1,25-34,female,220302,1528,0.04,0.69%,48,,62.99
2025-01-01,2026-01-01,FB — 1,25-34,male,136929,1403,0.03,1.02%,39,,38.2
2025-01-01,2026-01-01,FB — 1,25-34,unknown,2372,20,0.07,0.84%,,,1.38
2025-01-01,2026-01-01,FB — 1,35-44,female,133917,746,0.03,0.56%,12,,23.53
2025-01-01,2026-01-01,FB — 1,35-44,male,102989,1259,0.02,1.22%,26,,30.59
2025-01-01,2026-01-01,FB — 1,35-44,unknown,688,5,0.05,0.73%,,,0.24
2025-01-01,2026-01-01,FB — 1,45-54,female,75133,453,0.02,0.60%,9,,10.84
2025-01-01,2026-01-01,FB — 1,45-54,male,87116,2575,0.02,2.96%,76,,59.7
2025-01-01,2026-01-01,FB — 1,45-54,unknown,321,5,0.03,1.56%,,,0.14
2025-01-01,2026-01-01,FB — 1,55-64,female,61056,733,0.02,1.20%,19,,13.74
2025-01-01,2026-01-01,FB — 1,55-64,male,108844,5753,0.02,5.29%,98,,123.13
2025-01-01,2026-01-01,FB — 1,55-64,unknown,287,10,0.02,3.48%,,,0.18
2025-01-01,2026-01-01,FB — 1,65+,female,38741,561,0.02,1.45%,56,,11.6
2025-01-01,2026-01-01,FB — 1,65+,male,81396,5280,0.02,6.49%,81,,107.78
2025-01-01,2026-01-01,FB — 1,65+,unknown,231,3,0.05,1.30%,,,0.15
2025-01-01,2026-01-01,FB — 2,18-24,female,64682,594,0.04,0.92%,14,,24.96
2025-01-01,2026-01-01,FB — 2,18-24,male,39678,309,0.03,0.78%,9,,10.74
2025-01-01,2026-01-01,FB — 2,18-24,unknown,1470,12,0.05,0.82%,,,0.58
2025-01-01,2026-01-01,FB — 2,25-34,female,178104,1712,0.06,0.96%,30,,95.02
2025-01-01,2026-01-01,FB — 2,25-34,male,100950,1093,0.04,1.08%,14,,38.98
2025-01-01,2026-01-01,FB — 2,25-34,unknown,3498,35,0.05,1.00%,,,1.89
2025-01-01,2026-01-01,FB — 2,35-44,female,56069,526,0.05,0.94%,7,,25.25
2025-01-01,2026-01-01,FB — 2,35-44,male,37024,329,0.03,0.89%,4,,10.69
2025-01-01,2026-01-01,FB — 2,35-44,unknown,673,6,0.06,0.89%,,,0.33
2025-01-01,2026-01-01,FB — 2,45-54,female,23606,233,0.03,0.99%,2,,6
2025-01-01,2026-01-01,FB — 2,45-54,male,20044,172,0.03,0.86%,1,,4.75
2025-01-01,2026-01-01,FB — 2,45-54,unknown,129,1,0.05,0.78%,,,0.05
2025-01-01,2026-01-01,FB — 2,55-64,female,18827,194,0.03,1.03%,2,,5.58
2025-01-01,2026-01-01,FB — 2,55-64,male,14313,170,0.03,1.19%,3,,4.8
2025-01-01,2026-01-01,FB — 2,55-64,unknown,76,0,0.00,0.00%,,,0.01
2025-01-01,2026-01-01,FB — 2,65+,female,14461,196,0.04,1.36%,3,,6.97
2025-01-01,2026-01-01,FB — 2,65+,male,10446,168,0.03,1.61%,2,,4.61
2025-01-01,2026-01-01,FB — 2,65+,unknown,125,2,0.03,1.60%,,,0.06
2025-01-01,2026-01-01,FB — 3,18-24,female,70751,472,0.06,0.67%,23,,26.74
2025-01-01,2026-01-01,FB — 3,18-24,male,31177,253,0.03,0.81%,12,,7.74
2025-01-01,2026-01-01,FB — 3,18-24,unknown,1135,5,0.09,0.44%,,,0.46
2025-01-01,2026-01-01,FB — 3,25-34,female,176985,1324,0.07,0.75%,39,,97.95
2025-01-01,2026-01-01,FB — 3,25-34,male,64698,625,0.03,0.97%,15,,20.21
2025-01-01,2026-01-01,FB — 3,25-34,unknown,2503,14,0.11,0.56%,,,1.6
2025-01-01,2026-01-01,FB — 3,35-44,female,57732,378,0.06,0.65%,8,,23.43
2025-01-01,2026-01-01,FB — 3,35-44,male,30340,234,0.03,0.77%,4,,6.33
