Reporting-starts,Reporting-ends,Ad-name,Country,Impressions,Clicks,CPC,CTR,Leads,CPL,Spent
2025-01-01,2026-01-01,FB — 1,AL,18670,1541,0.02,8.25%,89,,28.46
2025-01-01,2026-01-01,FB — 1,AR,27945,466,0.04,1.67%,10,,20.77
2025-01-01,2026-01-01,FB — 1,AU,352,1,0.24,0.28%,,,0.24
2025-01-01,2026-01-01,FB — 1,AT,166,1,0.08,0.60%,,,0.08
2025-01-01,2026-01-01,FB — 1,BE,280,1,0.16,0.36%,,,0.16
2025-01-01,2026-01-01,FB — 1,BA,6996,603,0.02,8.62%,36,,10.48
2025-01-01,2026-01-01,FB — 1,BR,20470,221,0.09,1.08%,7,,19.15
2025-01-01,2026-01-01,FB — 1,BG,2358,211,0.02,8.95%,5,,4.27
2025-01-01,2026-01-01,FB — 1,CA,215,4,0.03,1.86%,,,0.13
2025-01-01,2026-01-01,FB — 1,CV,740992,3677,0.02,0.50%,78,,63.32
2025-01-01,2026-01-01,FB — 1,CL,4584,54,0.08,1.18%,,,4.57
2025-01-01,2026-01-01,FB — 1,CO,181673,2521,0.03,1.39%,70,,79.94
2025-01-01,2026-01-01,FB — 1,HR,1059,64,0.03,6.04%,1,,2.16
2025-01-01,2026-01-01,FB — 1,CY,438,10,0.05,2.28%,,,0.49
2025-01-01,2026-01-01,FB — 1,CZ,269,3,0.10,1.12%,,,0.29
2025-01-01,2026-01-01,FB — 1,DK,75,0,0.00,0.00%,,,0.02
2025-01-01,2026-01-01,FB — 1,DO,32329,539,0.03,1.67%,26,,15.81
2025-01-01,2026-01-01,FB — 1,EE,32,1,0.03,3.13%,,,0.03
2025-01-01,2026-01-01,FB — 1,FI,24,1,0.02,4.17%,,,0.02
2025-01-01,2026-01-01,FB — 1,FR,587,2,0.12,0.34%,,,0.24
2025-01-01,2026-01-01,FB — 1,DE,1019,10,0.05,0.98%,,,0.45
2025-01-01,2026-01-01,FB — 1,GR,1816,132,0.03,7.27%,8,,3.41
2025-01-01,2026-01-01,FB — 1,HU,426,21,0.04,4.93%,,,0.80
2025-01-01,2026-01-01,FB — 1,IS,12,1,0.01,8.33%,,,0.01
2025-01-01,2026-01-01,FB — 1,IE,11,1,0.00,9.09%,,,0.00
2025-01-01,2026-01-01,FB — 1,IL,93,8,0.03,8.60%,,,0.20
2025-01-01,2026-01-01,FB — 1,IT,1460,20,0.08,1.37%,,,1.53
2025-01-01,2026-01-01,FB — 1,JM,834,38,0.03,4.56%,,,0.95
2025-01-01,2026-01-01,FB — 1,JP,196,0,0.00,0.00%,,,0.36
2025-01-01,2026-01-01,FB — 1,XK,9115,534,0.02,5.86%,18,,11.48
