Reporting-starts,Reporting-ends,Ad-name,Platform,Placement,Impressions,Clicks,CPC,CTR,Leads,CPL,Spent
2025-01-01,2026-01-01,INST — 1 ,Instagram,Feed,15,0,0.00,0.00%,,,0.05
2025-01-01,2026-01-01,INST — 1 ,Instagram,Feed,1423,132,0.03,9.28%,22,,4.36
2025-01-01,2026-01-01,INST — 1 ,Instagram,Feed,19,3,0.01,15.79%,,,0.03
2025-01-01,2026-01-01,INST — 1 ,Instagram,Explore,69,2,0.07,2.90%,2,,0.13
2025-01-01,2026-01-01,INST — 1 ,Instagram,Profile feed,1,0,0.00,0.00%,,,0.00
2025-01-01,2026-01-01,INST — 1 ,Instagram,Instagram Reels,5277,399,0.02,7.56%,33,,9.13
2025-01-01,2026-01-01,INST — 1 ,Instagram,Instagram Stories,251,18,0.06,7.17%,4,,1.14
2025-01-01,2026-01-01,FB — 1,Facebook,Business Explore,2,0,0.00,0.00%,,,0.00
2025-01-01,2026-01-01,FB — 1,Facebook,Facebook Notifications,1,0,0.00,0.00%,,,0.00
2025-01-01,2026-01-01,FB — 1,Facebook,Facebook profile feed,3077,40,0.02,1.30%,1,,0.92
2025-01-01,2026-01-01,FB — 1,Facebook,Facebook Reels,181105,"2,030",0.02,1.12%,41,,34.56
2025-01-01,2026-01-01,FB — 1,Facebook,Ads on Facebook Reels,77,0,0.00,0.00%,,,0.06
2025-01-01,2026-01-01,FB — 1,Facebook,Facebook Stories,297425,"1,370",0.03,0.46%,34,,37.37
2025-01-01,2026-01-01,FB — 1,Facebook,Feed,2237,220,0.02,9.83%,3,,3.31
2025-01-01,2026-01-01,FB — 1,Facebook,Feed,185622,"12,377",0.02,6.67%,201,,267.72
2025-01-01,2026-01-01,FB — 1,Facebook,Feed,1477,112,0.02,7.58%,4,,1.91
2025-01-01,2026-01-01,FB — 1,Facebook,In-stream reels,7,0,0.00,0.00%,,,0.00
2025-01-01,2026-01-01,FB — 1,Facebook,In-stream reels,210572,"2,252",0.03,1.07%,98,,65.73
2025-01-01,2026-01-01,FB — 1,Facebook,Marketplace,317,18,0.02,5.68%,,,0.29
2025-01-01,2026-01-01,FB — 1,Facebook,Marketplace,63015,"1,542",0.04,2.45%,57,,55.56
2025-01-01,2026-01-01,FB — 1,Facebook,Right column,44184,140,0.02,0.32%,2,,3.16
